t (sec);phi (degress);pid (PWM);;;
3927;-3;-24;;;
3947;0;-21;;;
3968;-1;-21;;;
3988;-5;-21;;;
4008;-5;-21;;;
4028;-5;-21;;;
4048;-9;-13;;;
4068;-10;-13;;;
4088;-9;-13;;;
4108;-12;-13;;;
4129;-13;-13;;;
4149;-14;-8;;;
4169;-11;-8;;;
4189;-13;-8;;;
4209;-17;-8;;;
4229;-17;-8;;;
4249;-18;-4;;;
4269;-17;-4;;;
4290;-17;-4;;;
4310;-19;-4;;;
4330;-19;-4;;;
4350;-21;-1;;;
4370;-20;-1;;;
4390;-21;-1;;;
4410;-20;-1;;;
4430;-20;-1;;;
4451;-18;-3;;;
4471;-18;-3;;;
4491;-19;-3;;;
4511;-18;-3;;;
4531;-18;-3;;;
4551;-19;-2;;;
4571;-20;-2;;;
4591;-20;-2;;;
4612;-19;-2;;;
4632;-21;-2;;;
4652;-20;-2;;;
4672;-18;-2;;;
4692;-19;-2;;;
4712;-19;-2;;;
4732;-20;-2;;;
4752;-19;-3;;;
4773;-21;-3;;;
4793;-21;-3;;;
4813;-19;-3;;;
4833;-18;-3;;;
4853;-19;-3;;;
4873;-19;-3;;;
4893;-19;-3;;;
4914;-20;-3;;;
4934;-21;-3;;;
4954;-21;-1;;;
4974;-20;-1;;;
4994;-19;-1;;;
5014;-21;-1;;;
5034;-20;-1;;;
5055;-18;-4;;;
5075;-19;-4;;;
5095;-18;-4;;;
5115;-19;-4;;;
5135;-19;-4;;;
5155;-21;-1;;;
5175;-21;-1;;;
5195;-20;-1;;;
5215;-18;-1;;;
5236;-20;-1;;;
5256;-20;-2;;;
5276;-18;-2;;;
5296;-19;-2;;;
5316;-19;-2;;;
5336;-19;-2;;;
5356;-18;-3;;;
5376;-20;-3;;;
5397;-20;-3;;;
5417;-20;-3;;;
5437;-20;-3;;;
5457;-20;-2;;;
5477;-18;-2;;;
5497;-17;-2;;;
5517;-17;-2;;;
5538;-19;-2;;;
5558;-18;-4;;;
5578;-14;-4;;;
5598;-12;-4;;;
5618;-19;-4;;;
5638;-28;-4;;;
5658;-39;15;;;
5679;-43;15;;;
5699;-48;15;;;
5719;-51;15;;;
5739;-53;15;;;
5759;-58;33;;;
5779;-59;33;;;
5800;-63;33;;;
5820;-61;33;;;
5840;-59;33;;;
5860;-59;35;;;
5880;-61;35;;;
5900;-55;35;;;
5921;-59;35;;;
5941;-52;35;;;
5961;-50;25;;;
5981;-51;25;;;
6001;-42;25;;;
6021;-44;25;;;
6041;-41;25;;;
6062;-32;9;;;
6082;-29;9;;;
6102;-30;9;;;
6122;-23;9;;;
6142;-17;9;;;
6162;-13;-8;;;
6182;-10;-8;;;
6202;-8;-8;;;
6223;-2;-8;;;
6243;0;-8;;;
6263;0;-22;;;
6283;3;-22;;;
6303;5;-22;;;
6323;8;-22;;;
6343;10;-22;;;
6364;6;-28;;;
6384;8;-28;;;
6404;14;-28;;;
6424;9;-28;;;
6444;5;-28;;;
6464;13;-34;;;
6484;4;-34;;;
6504;7;-34;;;
6524;4;-34;;;
6545;8;-34;;;
6565;1;-22;;;
6585;2;-22;;;
6605;2;-22;;;
6625;-4;-22;;;
6645;0;-22;;;
6665;-3;-18;;;
6685;-3;-18;;;
6706;-6;-18;;;
6726;-11;-18;;;
6746;-10;-18;;;
6766;-9;-12;;;
6786;-12;-12;;;
6806;-16;-12;;;
6826;-16;-12;;;
6846;-16;-12;;;
6867;-15;-7;;;
6887;-19;-7;;;
6907;-21;-7;;;
6927;-22;-7;;;
6947;-23;-7;;;
6967;-21;-1;;;
6987;-21;-1;;;
7007;-23;-1;;;
7028;-23;-1;;;
7048;-24;-1;;;
7068;-24;1;;;
7088;-24;1;;;
7108;-24;1;;;
7128;-24;1;;;
7149;-23;1;;;
7169;-25;1;;;
7189;-23;1;;;
7209;-21;1;;;
7229;-21;1;;;
7249;-21;1;;;
7269;-23;0;;;
7289;-21;0;;;
7309;-22;0;;;
7330;-23;0;;;
7350;-21;0;;;
7370;-21;-1;;;
7390;-22;-1;;;
7410;-20;-1;;;
7430;-23;-1;;;
7450;-24;-1;;;
7471;-23;0;;;
7491;-24;0;;;
7511;-23;0;;;
7531;-22;0;;;
7551;-21;0;;;
7571;-22;0;;;
7591;-22;0;;;
7611;-20;0;;;
7632;-23;0;;;
7652;-23;0;;;
7672;-21;-1;;;
7692;-22;-1;;;
7712;-22;-1;;;
7732;-21;-1;;;
7752;-23;-1;;;
7773;-24;1;;;
7793;-22;1;;;
7813;-23;1;;;
7833;-24;1;;;
7853;-23;1;;;
7873;-23;0;;;
7893;-25;0;;;
7914;-23;0;;;
7934;-21;0;;;
7954;-23;0;;;
7974;-24;0;;;
7994;-24;0;;;
8014;-25;0;;;
8034;-24;0;;;
8054;-22;0;;;
8074;-21;-1;;;
8095;-25;-1;;;
8115;-24;-1;;;
8135;-22;-1;;;
8155;-23;-1;;;
8175;-23;0;;;
8195;-21;0;;;
8215;-22;0;;;
8236;-23;0;;;
8256;-23;0;;;
8276;-24;1;;;
8296;-23;1;;;
8316;-21;1;;;
8336;-23;1;;;
8356;-22;1;;;
8376;-21;-1;;;
8397;-23;-1;;;
8417;-23;-1;;;
8437;-24;-1;;;
8457;-23;-1;;;
8477;-23;0;;;
8497;-22;0;;;
8518;-20;0;;;
8538;-22;0;;;
8558;-23;0;;;
8578;-22;0;;;
8598;-24;0;;;
8618;-23;0;;;
8638;-23;0;;;
8658;-22;0;;;
8679;-23;0;;;
8699;-23;0;;;
8719;-20;0;;;
8739;-24;0;;;
8759;-24;0;;;
8779;-24;1;;;
8799;-23;1;;;
8819;-24;1;;;
8840;-24;1;;;
8860;-22;1;;;
8880;-21;-1;;;
8900;-23;-1;;;
8920;-23;-1;;;
8940;-23;-1;;;
8960;-24;-1;;;
8980;-24;1;;;
9001;-23;1;;;
9021;-25;1;;;
9041;-22;1;;;
9061;-22;1;;;
9081;-23;0;;;
9101;-24;0;;;
9121;-22;0;;;
9141;-23;0;;;
9162;-24;0;;;
9182;-23;0;;;
9202;-24;0;;;
9222;-26;0;;;
9242;-25;0;;;
9262;-25;0;;;
9282;-25;2;;;
9303;-22;2;;;
9323;-25;2;;;
9343;-26;2;;;
9363;-24;2;;;
9383;-24;1;;;
9403;-22;1;;;
9423;-24;1;;;
9444;-23;1;;;
9464;-23;1;;;
9484;-21;-1;;;
9504;-23;-1;;;
9524;-24;-1;;;
9544;-24;-1;;;
9564;-26;-1;;;
9585;-26;3;;;
9605;-23;3;;;
9625;-26;3;;;
9645;-25;3;;;
9665;-26;3;;;
9685;-25;2;;;
9705;-28;2;;;
9726;-30;2;;;
9746;-27;2;;;
9766;-29;2;;;
9786;-28;4;;;
9806;-28;4;;;
9826;-34;4;;;
9846;-33;4;;;
9867;-34;4;;;
9887;-34;11;;;
9907;-34;11;;;
9927;-32;11;;;
9947;-35;11;;;
9967;-37;11;;;
9988;-35;11;;;
10008;-32;11;;;
10028;-35;11;;;
10048;-38;11;;;
10068;-34;11;;;
